operated_area_mu,disaster,predicted_fallow_percent
0.0,未报告受灾,9.217212251175518
0.06943496817828097,未报告受灾,9.110003426877855
0.14369115116248085,未报告受灾,9.003917911138863
0.22310330984922924,未报告受灾,8.898946802841937
0.30802944924736064,未报告受灾,8.79508120397126
0.3988524324321055,未报告受灾,8.692312221483585
0.4959817065641397,未报告受灾,8.590630969134438
0.5998551487547112,未报告受灾,8.490028569259149
0.7109410400983536,未报告受灾,8.390496154509162
0.8297401767724977,未报告受灾,8.292024869544075
0.9567881277212182,未报告受灾,8.194605872679832
1.092657649101179,未报告受灾,8.098230337493579
1.2379612663745556,未报告受灾,8.002889454385612
1.3933540356894984,未报告受灾,7.908574432098956
1.5595364969969592,未报告受灾,7.815276499197049
1.7372578322170913,未报告受灾,7.722986905500008
1.9273192426928358,未报告受灾,7.631696923480077
2.130577561156883,未报告受灾,7.541397849616689
2.3479491144954507,未报告受灾,7.452081005711716
2.5804138547229467,未报告受灾,7.363737740165442
2.8290197767907106,未报告受灾,7.276359429213794
3.0948876431461825,未报告受灾,7.189937478127362
3.3792160363416732,未报告受灾,7.104463322372799
3.6832867624708756,未报告受灾,7.019928428737107
4.008470629792805,未报告受灾,6.9363242964154015
4.356233628594324,未报告受灾,6.853642458062686
4.728143540151209,未报告受灾,6.771874480810232
5.125877004582233,未报告受灾,6.691011967247105
5.551227079459465,未报告受灾,6.61104655636741
6.006111323250424,未报告受灾,6.5319699244838105
6.4925804400338105,未报告受灾,6.453773786107915
7.012827524460771,未报告受灾,6.3764498947980695
7.569197948639758,未报告受灾,6.299990043975143
8.16419993551695,未报告受灾,6.224386067706847
8.800515866418976,未报告受灾,6.149629841461202
9.481014373734514,未报告受灾,6.075713282829642
10.208763273250874,未报告受灾,6.002628352220389
10.987043394446932,未报告受灾,5.930367053522616
11.819363371092031,未报告受灾,5.858921434741955
12.709475458829626,未报告受灾,5.788283588607939
13.661392451054382,未报告受灾,5.718445653153883
14.679405769342639,未报告受灾,5.64939981226978
15.768104809991296,未报告受灾,5.581138296228762
16.93239763388312,未报告受灾,5.513653382187634
18.177533092952075,未报告受灾,5.44693739466205
19.50912449299914,未报告受灾,5.380982705976866
20.933174899534933,未报告受灾,5.315781736692158
22.45610420073281,未报告受灾,5.251326956005477
24.084778049497142,未报告受灾,5.187610882130816
